JobID END,ExitTime,JobsInSystem
[1:0-(x)],1.003956,1
[2:0-(x)],2.516865,2
[3:0-(x)],4.474623,3
[4:0-(x)],6.507946,4
[5:0-(x)],8.169700,5
[6:0-(x)],9.476439,6
[1:1-([1:0-(x)])],10.304856,7
[7:0-(x)],11.675022,7
[1:2-([1:1-([1:0-(x)])])],12.944128,7
[8:0-(x)],13.550810,7
[2:1-([2:0-(x)])],19.503979,7
[9:0-(x)],20.767826,8
[2:2-([2:1-([2:0-(x)])])],21.922998,7
[3:1-([3:0-(x)])],28.523586,7
[3:2-([3:1-([3:0-(x)])])],30.554525,7
[10:0-(x)],30.713575,7
[4:1-([4:0-(x)])],36.850578,7
[11:0-(x)],38.216831,8
[4:2-([4:1-([4:0-(x)])])],38.726757,7
[5:1-([5:0-(x)])],44.974663,7
[5:2-([5:1-([5:0-(x)])])],47.068653,7
[12:0-(x)],47.183628,7
[6:1-([6:0-(x)])],53.888432,7
[13:0-(x)],55.916245,8
[6:2-([6:1-([6:0-(x)])])],56.334229,7
[7:1-([7:0-(x)])],63.515434,7
[7:2-([7:1-([7:0-(x)])])],65.428421,7
[14:0-(x)],65.684105,7
[8:1-([8:0-(x)])],71.944305,7
[8:2-([8:1-([8:0-(x)])])],74.255196,7
[15:0-(x)],74.521156,7
[9:1-([9:0-(x)])],81.171249,7
[9:2-([9:1-([9:0-(x)])])],82.479500,7
[16:0-(x)],83.444977,7
[10:1-([10:0-(x)])],89.895752,7
[10:2-([10:1-([10:0-(x)])])],92.039261,7
